frame,time_sec,r_elbow_angle,l_elbow_angle,r_shoulder_angle,l_shoulder_angle,shoulder_tilt,r_wrist_height,l_wrist_height,r_wrist_vis,r_elbow_vis
50,1.738,177.55,175.37,8.3,9.69,2.46,0.4967,0.5374,1.0,1.0
51,1.772,177.38,175.51,8.49,9.89,2.48,0.4976,0.539,1.0,1.0
52,1.807,177.27,175.7,8.73,9.96,2.48,0.4989,0.5391,1.0,1.0
53,1.842,177.55,175.88,8.59,9.97,2.48,0.4999,0.539,1.0,1.0
54,1.877,177.47,175.84,8.61,10.01,2.47,0.5004,0.5397,1.0,1.0
55,1.911,177.26,175.69,8.64,9.99,2.48,0.501,0.5399,1.0,1.0
56,1.946,176.95,175.42,8.67,9.98,2.51,0.5011,0.54,1.0,1.0
57,1.981,176.69,175.51,8.58,10.22,2.54,0.5014,0.5404,1.0,1.0
58,2.016,176.1,175.43,8.69,10.23,2.56,0.5016,0.5404,1.0,1.0
59,2.05,175.51,175.76,8.66,10.37,2.56,0.502,0.5404,1.0,1.0
60,2.085,174.77,175.75,8.61,10.57,2.56,0.5023,0.5404,1.0,1.0
61,2.12,174.4,175.82,8.5,10.79,2.56,0.5033,0.5406,1.0,1.0
62,2.155,174.23,175.66,8.38,11.14,2.57,0.5035,0.5413,1.0,1.0
63,2.19,174.28,175.1,8.17,11.19,2.58,0.5035,0.5424,1.0,1.0
64,2.224,174.59,174.75,7.79,11.38,2.6,0.5038,0.5441,1.0,1.0
65,2.259,174.9,174.93,7.49,11.65,2.6,0.5044,0.5447,1.0,1.0
66,2.294,174.78,174.84,7.32,11.82,2.61,0.5057,0.5451,1.0,1.0
67,2.329,174.97,174.77,7.0,11.98,2.59,0.5067,0.5453,1.0,1.0
68,2.363,174.95,174.82,6.76,12.06,2.6,0.5067,0.5452,1.0,1.0
69,2.398,175.14,174.9,6.53,12.29,2.6,0.5072,0.5455,1.0,1.0
70,2.433,175.21,175.25,6.17,12.71,2.59,0.5085,0.5455,1.0,1.0
71,2.468,175.52,175.64,5.76,13.06,2.58,0.5088,0.5454,1.0,1.0
72,2.502,175.99,175.49,5.18,13.31,2.57,0.509,0.5454,1.0,1.0
73,2.537,175.85,176.16,4.9,13.91,2.57,0.5097,0.5454,1.0,1.0
74,2.572,175.77,176.05,4.6,14.14,2.57,0.51,0.5459,1.0,1.0
75,2.607,175.51,176.27,4.48,14.41,2.55,0.5109,0.5461,1.0,1.0
76,2.641,175.32,176.74,4.31,14.75,2.54,0.5114,0.5461,1.0,1.0
77,2.676,175.54,176.78,3.9,14.99,2.5,0.5124,0.5461,1.0,1.0
78,2.711,175.55,176.86,3.35,15.33,2.46,0.5144,0.5461,1.0,1.0
79,2.746,175.53,176.56,3.0,15.44,2.43,0.5147,0.5457,1.0,1.0
80,2.78,175.57,176.28,2.61,15.63,2.41,0.515,0.5456,1.0,1.0
81,2.815,175.79,176.21,2.09,15.89,2.4,0.5166,0.5456,1.0,1.0
82,2.85,176.35,176.46,1.61,16.2,2.39,0.5162,0.5457,1.0,1.0
83,2.885,176.55,176.47,1.33,16.44,2.39,0.5164,0.5461,1.0,1.0
