frame,time_sec,r_elbow_angle,l_elbow_angle,r_shoulder_angle,l_shoulder_angle,shoulder_tilt,r_wrist_height,l_wrist_height,r_wrist_vis,r_elbow_vis
1,0.033,143.68,98.56,46.27,2.55,-7.7,0.8765,0.5844,1.0,1.0
2,0.067,143.32,97.97,46.86,3.04,-7.71,0.8765,0.5838,1.0,1.0
3,0.1,143.09,97.39,46.98,3.26,-7.8,0.8765,0.5833,1.0,1.0
4,0.133,143.14,97.44,46.86,2.95,-7.89,0.8765,0.5826,1.0,1.0
5,0.167,143.31,97.03,46.53,3.03,-7.95,0.8767,0.5821,1.0,1.0
6,0.2,143.46,96.95,45.92,2.73,-8.0,0.877,0.5815,1.0,1.0
7,0.233,144.29,96.09,45.21,2.7,-8.12,0.8776,0.5802,1.0,1.0
8,0.267,144.96,94.96,44.79,2.82,-8.3,0.8784,0.5786,1.0,1.0
9,0.3,145.64,93.94,44.64,3.29,-8.52,0.8791,0.5768,1.0,1.0
10,0.333,146.21,93.12,44.48,4.06,-8.78,0.8795,0.5766,1.0,1.0
11,0.367,146.51,91.91,44.4,4.85,-9.15,0.8796,0.5761,1.0,1.0
12,0.4,146.4,91.02,44.38,5.38,-9.33,0.8792,0.5748,1.0,1.0
13,0.433,146.27,90.32,44.47,5.61,-9.62,0.8788,0.5729,1.0,1.0
14,0.467,145.88,89.96,44.56,5.6,-9.79,0.8779,0.5714,1.0,1.0
15,0.5,145.48,89.09,44.7,5.89,-10.06,0.8769,0.5697,1.0,1.0
16,0.533,145.05,88.89,44.97,5.82,-10.3,0.8757,0.5678,1.0,1.0
17,0.567,144.52,89.39,45.28,5.65,-10.43,0.8749,0.5655,1.0,1.0
18,0.6,143.89,90.16,45.66,5.25,-10.5,0.874,0.5643,1.0,1.0
19,0.633,143.06,91.73,46.21,3.96,-10.56,0.873,0.5608,1.0,1.0
20,0.667,142.53,92.72,46.61,2.89,-10.73,0.8722,0.5583,1.0,1.0
21,0.7,141.96,93.21,46.77,2.01,-11.0,0.8714,0.5563,1.0,1.0
22,0.733,141.35,93.84,47.01,1.32,-11.2,0.87,0.5555,1.0,1.0
23,0.767,140.94,95.57,47.31,0.99,-11.39,0.8694,0.5535,1.0,1.0
24,0.8,140.78,96.68,47.36,2.45,-11.56,0.8689,0.5505,1.0,1.0
25,0.833,140.36,98.17,47.33,3.86,-11.61,0.8679,0.5492,1.0,1.0
26,0.867,140.04,98.78,47.33,4.42,-11.65,0.8664,0.5471,1.0,1.0
27,0.9,139.66,99.25,47.3,5.34,-11.75,0.8653,0.5428,1.0,1.0
28,0.933,138.97,99.29,47.14,5.62,-11.76,0.8638,0.5396,1.0,1.0
29,0.967,137.89,100.2,47.07,6.04,-11.7,0.862,0.5385,1.0,1.0
30,1.0,137.4,101.41,46.97,6.6,-11.61,0.8608,0.537,1.0,1.0
31,1.033,137.27,102.92,46.66,7.44,-11.75,0.8589,0.5358,1.0,1.0
32,1.067,137.35,102.21,46.23,6.97,-11.86,0.8571,0.5348,1.0,1.0
33,1.1,137.72,101.91,45.91,7.02,-11.88,0.8556,0.5333,1.0,1.0
34,1.133,138.82,102.29,45.33,7.42,-11.9,0.8541,0.5324,1.0,1.0
35,1.167,139.14,103.36,45.28,8.4,-12.05,0.8534,0.5312,1.0,1.0
36,1.2,139.52,104.64,45.12,9.27,-12.14,0.8522,0.529,1.0,1.0
37,1.233,140.53,104.7,44.58,9.69,-12.24,0.8506,0.5256,1.0,1.0
38,1.267,141.26,105.02,43.96,9.98,-12.51,0.8481,0.5247,1.0,1.0
39,1.3,142.27,105.23,43.34,9.91,-12.74,0.846,0.524,1.0,1.0
40,1.333,143.45,106.85,42.33,11.66,-13.08,0.844,0.5218,1.0,1.0
41,1.367,144.47,107.95,41.47,12.38,-13.32,0.8417,0.5202,1.0,1.0
42,1.4,146.43,109.01,40.43,13.22,-13.5,0.8397,0.5181,1.0,1.0
43,1.433,148.18,109.48,38.83,13.74,-13.6,0.8368,0.5166,1.0,1.0
44,1.467,150.1,111.14,37.28,14.38,-13.74,0.8325,0.5152,1.0,1.0
45,1.5,151.5,111.74,35.43,14.46,-13.88,0.8273,0.5143,1.0,1.0
46,1.533,155.22,112.57,33.22,14.58,-13.97,0.8225,0.5123,1.0,1.0
47,1.567,156.67,114.52,31.71,15.65,-14.08,0.8185,0.5095,1.0,1.0
48,1.6,157.23,116.45,30.33,16.53,-14.05,0.8123,0.5082,1.0,1.0
49,1.633,158.06,117.39,29.51,16.53,-14.05,0.8087,0.5068,1.0,1.0
50,1.667,160.7,118.65,27.83,17.04,-14.11,0.8052,0.5052,1.0,1.0
51,1.7,163.14,118.5,26.59,16.77,-14.33,0.8033,0.5029,1.0,1.0
52,1.733,165.51,119.39,24.96,16.86,-14.41,0.799,0.5014,1.0,1.0
53,1.767,169.21,120.51,22.76,17.0,-14.6,0.7951,0.5008,1.0,1.0
54,1.8,171.37,121.31,20.86,16.86,-14.65,0.7896,0.5004,1.0,1.0
55,1.833,173.72,122.92,18.98,17.07,-14.7,0.7842,0.5002,1.0,1.0
56,1.867,175.65,124.8,16.98,17.68,-14.68,0.7782,0.4995,1.0,1.0
57,1.9,174.59,125.95,16.05,18.03,-14.71,0.7694,0.4976,1.0,1.0
58,1.933,175.85,126.43,14.62,17.93,-14.71,0.7634,0.4961,1.0,1.0
59,1.967,176.19,127.79,14.12,17.97,-14.61,0.7566,0.4945,1.0,1.0
60,2.0,175.64,128.89,13.9,17.88,-14.56,0.7495,0.4927,1.0,1.0
61,2.033,174.44,130.2,13.41,17.97,-14.52,0.7419,0.4911,1.0,1.0
62,2.067,173.25,130.94,12.79,18.22,-14.46,0.7357,0.4889,1.0,1.0
63,2.1,171.05,131.45,12.04,18.59,-14.35,0.7279,0.487,1.0,1.0
64,2.133,169.89,132.67,11.35,19.06,-14.29,0.7211,0.4846,1.0,1.0
65,2.167,168.22,133.67,10.01,19.66,-14.24,0.7131,0.4825,1.0,1.0
66,2.2,165.32,133.53,8.82,19.8,-14.08,0.7018,0.4797,1.0,1.0
67,2.233,161.83,134.22,8.01,19.96,-13.93,0.6907,0.4773,1.0,1.0
68,2.267,158.87,134.3,7.46,19.91,-13.88,0.6816,0.4751,1.0,1.0
69,2.3,156.39,134.64,6.68,20.26,-13.85,0.6727,0.4728,1.0,1.0
70,2.333,152.31,134.05,5.98,20.32,-13.73,0.662,0.4698,1.0,1.0
71,2.367,148.02,133.5,4.91,20.64,-13.64,0.6501,0.4658,1.0,1.0
72,2.4,144.95,132.96,4.01,20.83,-13.56,0.6412,0.4621,1.0,1.0
73,2.433,141.11,131.57,2.61,21.11,-13.49,0.6278,0.4567,1.0,1.0
74,2.467,138.41,130.72,1.48,21.5,-13.41,0.6169,0.4525,1.0,1.0
75,2.5,137.81,131.05,0.63,22.76,-13.21,0.6086,0.4474,0.99,1.0
76,2.533,137.68,132.35,1.72,23.7,-13.01,0.5996,0.4443,0.99,1.0
77,2.567,136.46,133.49,3.22,24.58,-12.9,0.5887,0.4411,0.99,1.0
78,2.6,136.47,133.1,4.98,25.02,-12.84,0.5808,0.4368,0.99,1.0
79,2.633,136.57,132.58,6.77,25.36,-12.72,0.5725,0.4324,0.99,1.0
80,2.667,135.59,133.6,7.96,26.15,-12.66,0.5644,0.4293,0.99,1.0
81,2.7,136.03,133.98,11.01,27.91,-12.69,0.5541,0.424,0.99,1.0
82,2.733,137.11,136.63,14.2,30.54,-12.77,0.5453,0.4185,0.99,1.0
83,2.767,139.91,139.99,17.95,33.36,-12.75,0.5375,0.4151,0.99,1.0
84,2.8,144.16,142.44,22.3,35.4,-12.7,0.5303,0.412,0.99,1.0
85,2.833,145.33,144.78,24.9,37.74,-12.64,0.5222,0.4084,0.99,1.0
86,2.867,144.37,144.47,26.76,38.37,-12.6,0.5115,0.4037,0.99,1.0
87,2.9,145.84,143.55,29.49,38.96,-12.63,0.5027,0.3983,0.99,1.0
88,2.933,146.3,143.67,31.63,39.27,-12.63,0.494,0.3968,0.99,1.0
89,2.967,146.39,144.41,33.17,40.25,-12.61,0.4874,0.3938,0.99,1.0
90,3.0,146.18,144.31,35.26,40.93,-12.63,0.4797,0.3908,0.99,0.99
91,3.033,145.55,143.21,37.26,41.29,-12.62,0.4682,0.3875,0.99,0.99
92,3.067,145.44,142.83,39.4,42.6,-12.59,0.4567,0.383,0.99,0.99
93,3.1,145.53,142.68,41.61,43.73,-12.55,0.4462,0.3787,0.99,0.99
94,3.133,145.9,141.42,43.57,43.9,-12.55,0.437,0.3747,0.99,0.99
95,3.167,145.72,142.87,45.35,45.64,-12.52,0.432,0.3723,0.99,0.99
96,3.2,146.12,143.63,47.38,47.23,-12.42,0.4204,0.3687,0.98,0.99
97,3.233,147.97,144.02,49.86,49.02,-12.47,0.413,0.3638,0.98,0.99
98,3.267,149.31,144.98,51.94,50.75,-12.41,0.4053,0.359,0.98,0.99
99,3.3,149.85,145.44,53.34,52.93,-12.38,0.4003,0.3518,0.98,0.99
100,3.333,149.42,146.43,54.51,54.47,-12.33,0.3952,0.3476,0.98,0.99
101,3.367,150.56,146.64,56.5,55.46,-12.25,0.39,0.3442,0.97,0.99
102,3.4,151.9,146.54,58.59,56.47,-12.21,0.3827,0.3423,0.97,0.99
103,3.433,154.08,146.45,61.19,57.61,-12.21,0.3763,0.3379,0.96,0.99
104,3.467,154.41,146.5,62.25,58.64,-12.24,0.3732,0.336,0.95,0.99
105,3.5,154.55,145.34,62.73,58.99,-12.26,0.3732,0.3318,0.95,0.99
106,3.533,154.8,145.9,63.51,59.57,-12.22,0.3721,0.3279,0.94,0.99
107,3.567,155.33,146.01,64.89,60.46,-12.17,0.3691,0.3232,0.94,0.99
108,3.6,155.89,146.07,66.08,61.66,-12.12,0.3649,0.3199,0.93,0.99
109,3.633,156.05,146.36,66.87,62.98,-12.07,0.3623,0.3177,0.92,0.98
110,3.667,156.66,147.59,67.83,64.76,-12.02,0.3611,0.3163,0.91,0.98
111,3.7,156.7,147.46,68.23,65.64,-11.93,0.3601,0.3151,0.9,0.98
112,3.733,157.65,146.13,69.83,66.04,-11.87,0.3554,0.314,0.9,0.98
113,3.767,159.13,145.86,71.58,66.71,-11.85,0.352,0.3108,0.89,0.98
114,3.8,160.05,145.74,72.67,67.83,-11.82,0.3515,0.3059,0.89,0.98
115,3.833,161.87,145.65,74.6,68.58,-11.71,0.3476,0.3023,0.87,0.97
116,3.867,162.6,145.23,75.78,69.12,-11.62,0.3449,0.2987,0.85,0.97
117,3.9,163.46,145.32,76.89,70.12,-11.6,0.3421,0.2976,0.82,0.96
118,3.933,163.38,144.0,77.63,70.21,-11.59,0.3391,0.298,0.8,0.96
119,3.967,163.73,143.22,78.51,69.97,-11.6,0.3348,0.298,0.77,0.95
120,4.0,163.69,142.78,78.94,70.23,-11.61,0.3334,0.2976,0.75,0.94
121,4.033,164.26,143.01,79.44,70.46,-11.61,0.3333,0.2983,0.75,0.94
122,4.067,165.1,142.73,80.53,70.35,-11.61,0.3281,0.2986,0.75,0.94
123,4.1,165.37,142.73,81.06,70.82,-11.61,0.328,0.2981,0.75,0.93
124,4.133,164.92,143.37,81.02,71.99,-11.62,0.326,0.2958,0.74,0.93
125,4.167,165.18,144.84,81.11,73.0,-11.62,0.327,0.2948,0.73,0.93
126,4.2,165.19,144.75,81.35,73.15,-11.62,0.3274,0.2939,0.73,0.93
127,4.233,165.23,144.81,81.62,73.36,-11.63,0.3254,0.2916,0.72,0.93
128,4.267,165.34,145.09,81.71,73.58,-11.65,0.3241,0.2907,0.72,0.93
129,4.3,164.95,144.61,81.77,73.75,-11.68,0.324,0.2908,0.71,0.92
130,4.333,165.22,144.98,82.03,74.04,-11.75,0.3238,0.2906,0.72,0.92
131,4.367,165.17,145.23,82.19,74.43,-11.8,0.3212,0.2896,0.72,0.92
132,4.4,165.45,145.09,82.16,74.78,-11.87,0.3211,0.2895,0.72,0.92
133,4.433,165.53,145.18,82.05,74.81,-11.99,0.3204,0.2896,0.72,0.92
134,4.467,165.26,144.59,81.85,74.66,-12.13,0.3194,0.2894,0.72,0.91
135,4.5,165.13,143.9,81.64,74.54,-12.23,0.319,0.2894,0.72,0.91
136,4.533,165.27,143.44,81.56,74.51,-12.32,0.3191,0.2897,0.72,0.91
137,4.567,165.27,143.29,81.47,74.29,-12.41,0.3192,0.2914,0.72,0.91
138,4.6,164.89,142.98,81.04,74.06,-12.51,0.3193,0.2928,0.72,0.91
139,4.633,164.53,143.08,80.39,74.03,-12.64,0.3201,0.2935,0.72,0.9
140,4.667,164.51,142.96,79.93,73.9,-12.75,0.3206,0.294,0.72,0.9
141,4.7,164.55,142.67,79.56,73.54,-12.87,0.3212,0.2948,0.71,0.9
142,4.733,164.2,142.53,78.87,73.24,-12.93,0.3245,0.2964,0.71,0.9
143,4.767,164.25,141.79,78.58,72.21,-12.93,0.3263,0.2971,0.71,0.89
144,4.8,163.98,141.4,78.23,71.67,-12.9,0.3279,0.2975,0.7,0.89
145,4.833,162.51,141.29,76.78,71.47,-12.97,0.3309,0.2987,0.7,0.88
146,4.867,161.14,141.66,75.19,71.33,-13.05,0.3344,0.3007,0.7,0.88
147,4.9,161.4,141.05,75.03,70.42,-13.14,0.3353,0.3025,0.69,0.87
148,4.933,161.99,141.16,74.97,69.84,-13.19,0.3357,0.3034,0.69,0.87
149,4.967,161.62,141.62,74.13,69.45,-13.16,0.3379,0.3054,0.67,0.86
150,5.0,162.04,141.52,73.88,69.02,-13.23,0.3435,0.3061,0.65,0.85
151,5.033,162.0,141.07,73.27,67.99,-13.25,0.3458,0.3087,0.64,0.84
152,5.067,160.86,140.66,71.62,66.87,-13.29,0.3522,0.3118,0.64,0.84
153,5.1,160.15,140.85,70.66,66.14,-13.18,0.357,0.3139,0.62,0.83
154,5.133,159.56,140.57,69.78,64.77,-13.16,0.359,0.3181,0.62,0.83
155,5.167,158.76,139.9,68.42,63.54,-13.26,0.3636,0.3214,0.6,0.82
156,5.2,159.29,139.3,68.21,62.22,-13.33,0.3655,0.3264,0.6,0.82
157,5.233,158.9,140.03,67.37,62.21,-13.35,0.3684,0.3283,0.6,0.82
158,5.267,158.49,141.04,66.35,62.14,-13.44,0.3712,0.3317,0.6,0.82
159,5.3,158.27,141.26,65.39,61.36,-13.5,0.3774,0.3348,0.59,0.82
160,5.333,157.07,142.21,63.59,61.11,-13.52,0.3851,0.3391,0.59,0.82
161,5.367,156.56,142.8,62.59,60.46,-13.54,0.3851,0.3406,0.6,0.82
162,5.4,156.37,144.0,62.0,60.1,-13.51,0.3846,0.3418,0.61,0.83
163,5.433,156.31,144.41,61.58,58.86,-13.53,0.3852,0.3481,0.62,0.83
164,5.467,156.91,145.03,61.25,57.37,-13.69,0.3884,0.3535,0.64,0.84
165,5.5,157.2,146.5,60.7,57.25,-13.85,0.3913,0.3567,0.65,0.84
166,5.533,156.52,146.74,59.44,56.86,-14.09,0.3958,0.3586,0.67,0.85
167,5.567,155.14,146.04,57.83,56.35,-14.3,0.4003,0.3597,0.69,0.86
168,5.6,153.59,145.72,55.9,55.18,-14.47,0.4055,0.3602,0.71,0.86
169,5.633,152.47,145.06,54.52,53.54,-14.59,0.411,0.3607,0.71,0.87
170,5.667,151.71,144.41,53.08,51.82,-14.72,0.4177,0.3637,0.73,0.87
171,5.7,151.79,144.32,51.41,50.42,-14.83,0.4251,0.3666,0.75,0.88
172,5.733,152.35,144.12,50.06,48.59,-14.93,0.4313,0.3737,0.77,0.89
173,5.767,153.5,141.82,48.69,45.69,-15.11,0.4398,0.3809,0.79,0.9
174,5.8,153.86,141.27,46.92,43.96,-15.3,0.4516,0.3872,0.81,0.91
175,5.833,154.33,141.5,45.73,42.87,-15.44,0.4569,0.3919,0.83,0.91
176,5.867,152.9,142.68,43.4,42.04,-15.54,0.4637,0.397,0.84,0.92
177,5.9,152.5,144.28,41.91,41.26,-15.62,0.4671,0.4032,0.86,0.93
178,5.933,151.58,143.67,39.96,39.01,-15.72,0.4678,0.4096,0.87,0.93
179,5.967,149.9,144.58,37.72,37.13,-15.82,0.4721,0.4178,0.88,0.94
180,6.0,148.72,146.8,35.62,34.86,-15.97,0.4758,0.4293,0.89,0.94
181,6.033,147.58,147.94,33.15,32.9,-16.09,0.4849,0.4385,0.9,0.94
182,6.067,146.23,147.26,30.45,31.28,-16.2,0.4913,0.442,0.91,0.95
183,6.1,145.86,146.39,27.24,28.76,-16.39,0.5067,0.4484,0.91,0.95
184,6.133,144.92,143.12,23.35,25.5,-16.52,0.5241,0.4519,0.92,0.95
185,6.167,145.19,142.48,21.22,23.27,-16.57,0.5323,0.4554,0.92,0.95
186,6.2,146.22,142.83,19.36,20.64,-16.69,0.5425,0.4631,0.93,0.95
187,6.233,146.69,143.14,17.75,18.03,-16.73,0.5497,0.4711,0.92,0.95
188,6.267,146.22,142.09,14.77,14.98,-16.7,0.5608,0.4783,0.93,0.95
189,6.3,145.34,142.33,11.8,12.53,-16.69,0.5723,0.4854,0.93,0.95
190,6.333,145.57,144.88,9.63,11.86,-16.68,0.5812,0.4911,0.93,0.95
191,6.367,144.54,147.49,6.43,11.28,-16.68,0.5919,0.4975,0.93,0.95
192,6.4,146.01,149.22,3.58,10.73,-16.76,0.6047,0.502,0.94,0.95
193,6.433,146.83,152.22,0.73,10.36,-16.85,0.6183,0.5072,0.94,0.95
194,6.467,146.37,154.16,3.04,9.76,-16.94,0.6287,0.5117,0.95,0.95
195,6.5,147.46,156.08,6.04,9.55,-17.05,0.6409,0.5148,0.95,0.95
196,6.533,147.02,157.41,9.21,8.29,-17.14,0.6505,0.5195,0.95,0.96
197,6.567,146.61,160.2,12.05,7.78,-17.27,0.6598,0.524,0.96,0.96
198,6.6,148.35,159.93,14.87,6.97,-17.3,0.6722,0.5259,0.96,0.96
199,6.633,152.34,160.87,17.91,6.24,-17.23,0.687,0.5289,0.96,0.96
200,6.667,155.15,159.45,20.77,5.12,-17.17,0.6988,0.5297,0.96,0.96
201,6.7,160.5,158.67,22.91,4.46,-17.09,0.712,0.5306,0.96,0.95
202,6.733,160.5,157.31,26.17,3.85,-17.22,0.7222,0.5309,0.96,0.95
203,6.767,164.16,155.9,28.42,2.8,-17.34,0.7336,0.5317,0.96,0.95
204,6.8,165.27,154.6,30.87,1.82,-17.39,0.7424,0.5325,0.96,0.95
205,6.833,168.49,152.4,32.02,0.76,-17.44,0.7509,0.5331,0.96,0.95
206,6.867,170.68,149.07,34.1,2.13,-17.53,0.761,0.5331,0.97,0.96
207,6.9,171.83,148.15,35.44,3.06,-17.55,0.7681,0.5337,0.97,0.96
208,6.933,173.83,147.53,36.85,3.12,-17.43,0.7759,0.5339,0.97,0.96
209,6.967,175.22,146.48,38.78,3.17,-17.37,0.7844,0.5336,0.97,0.96
210,7.0,176.82,144.77,40.05,3.47,-17.42,0.7904,0.5333,0.98,0.96
